,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,0,0,0,0,0,0,0,2
Ins 33,0,0,0,2,0,0,0,0
Ins 34,0,0,2,1,0,0,0,0
Ins 35,0,0,0,0,0,0,0,2
Ins 36,0,0,0,0,0,0,0,1
Ins 37,0,0,0,1,1,0,0,0
Ins 38,0,0,0,2,0,0,0,0
Ins 39,0,2,0,0,0,1,0,0
Ins 40,0,2,0,0,2,1,0,0
Ins 41,1,2,0,0,1,0,0,0
Ins 42,0,0,0,0,2,0,0,0
Ins 43,0,0,0,0,2,1,0,0
Ins 44,0,2,0,0,1,0,0,0
Ins 45,0,0,2,0,0,0,0,0
Ins 46,0,0,0,0,0,0,0,1
Ins 47,2,2,0,0,0,0,0,0
Ins 48,0,0,0,0,2,0,0,0
Ins 49,0,0,0,0,0,0,0,0
Ins 50,0,0,0,0,0,0,1,0
Ins 51,0,1,0,0,0,0,0,0
Ins 52,0,0,0,0,0,2,0,0
Ins 53,0,0,0,0,0,2,2,0
Ins 54,0,1,0,0,2,0,0,0
Ins 55,0,1,0,0,0,2,0,0
Ins 56,0,0,0,0,2,0,0,0
Ins 57,0,0,0,0,1,0,0,1
Ins 58,0,0,2,0,0,0,0,0
Ins 59,0,0,2,0,0,2,0,0
Ins 60,0,0,0,0,2,0,0,0
Ins 61,0,1,0,0,0,1,0,0
Ins 62,0,0,0,1,0,2,0,1
Ins 63,0,2,0,0,0,0,0,0
