,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,2,2,1,0,0,2,0,0
Ins 97,2,2,0,1,2,2,0,0
Ins 98,1,1,1,1,2,2,1,1
Ins 99,0,1,0,0,1,2,0,0
Ins 100,2,2,0,0,1,2,0,1
Ins 101,2,2,0,1,1,2,1,2
Ins 102,1,2,0,0,1,2,0,2
Ins 103,1,1,0,1,2,2,0,1
Ins 104,2,2,2,2,1,0,1,0
Ins 105,1,1,2,2,1,1,0,0
Ins 106,0,0,0,1,1,0,0,0
Ins 107,1,0,1,2,0,0,0,0
Ins 108,1,0,0,2,1,1,0,1
Ins 109,2,1,1,1,1,0,0,0
Ins 110,2,1,0,1,1,0,1,0
Ins 111,1,0,1,1,1,1,1,0
Ins 112,2,2,2,2,1,1,1,0
Ins 113,1,1,2,2,0,0,0,1
Ins 114,0,0,2,2,0,0,1,0
Ins 115,1,0,1,1,0,0,0,0
Ins 116,2,2,0,0,1,2,1,2
Ins 117,1,1,1,1,0,0,0,0
Ins 118,1,1,1,1,0,0,0,0
Ins 119,2,2,0,0,1,2,0,0
Ins 120,2,2,1,0,0,0,0,0
Ins 121,1,1,0,0,0,0,0,0
Ins 122,1,2,0,1,2,2,0,2
Ins 123,0,0,0,2,1,0,1,2
Ins 124,2,2,1,1,1,0,0,0
Ins 125,1,2,0,0,0,0,0,0
Ins 126,1,0,1,2,0,0,0,0
Ins 127,2,2,0,0,1,2,0,0
