,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,1,1,0,2,2,0,1
Ins 65,0,0,1,1,1,1,0,1
Ins 66,2,1,2,0,0,1,0,1
Ins 67,1,2,0,0,0,1,0,1
Ins 68,1,1,1,0,1,1,0,1
Ins 69,1,1,1,0,1,2,0,0
Ins 70,0,0,1,0,1,2,1,1
Ins 71,0,0,1,0,0,1,0,1
Ins 72,0,1,0,0,1,2,0,2
Ins 73,1,2,0,0,1,1,0,1
Ins 74,0,0,0,0,2,1,0,1
Ins 75,0,1,1,0,0,2,0,1
Ins 76,0,0,0,0,2,1,0,0
Ins 77,1,1,0,0,1,2,0,1
Ins 78,0,1,0,0,2,2,0,1
Ins 79,1,1,1,0,0,2,0,1
Ins 80,2,2,0,0,0,1,0,0
Ins 81,2,2,0,0,0,1,0,0
Ins 82,1,1,1,0,2,2,0,1
Ins 83,0,0,0,0,1,1,0,1
Ins 84,0,0,1,0,0,1,0,0
Ins 85,0,1,0,0,1,2,0,1
Ins 86,1,2,1,0,1,2,0,1
Ins 87,0,0,1,0,2,1,0,1
Ins 88,2,2,1,0,0,1,0,0
Ins 89,1,1,0,0,1,2,0,1
Ins 90,2,1,1,0,0,1,0,1
Ins 91,2,2,0,0,2,2,0,1
Ins 92,0,1,1,0,1,1,0,1
Ins 93,1,1,2,0,0,2,0,1
Ins 94,1,1,1,0,2,1,0,0
Ins 95,1,1,0,0,1,1,1,0
