,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,0,1,2,0,0,2,0,0
Ins 97,1,1,1,0,0,2,0,1
Ins 98,1,1,1,0,1,2,0,1
Ins 99,2,1,1,0,1,1,0,1
Ins 100,0,2,0,0,0,1,1,1
Ins 101,1,1,1,0,0,2,1,2
Ins 102,0,1,0,0,0,2,0,1
Ins 103,1,1,2,0,1,2,1,0
Ins 104,0,1,1,1,0,0,0,1
Ins 105,0,0,2,1,0,2,0,0
Ins 106,0,0,1,0,1,2,0,0
Ins 107,0,0,1,0,1,2,0,2
Ins 108,0,0,1,0,1,2,2,0
Ins 109,1,1,1,1,0,2,0,1
Ins 110,0,1,0,0,1,2,1,1
Ins 111,0,0,1,1,0,2,1,1
Ins 112,0,1,2,0,0,2,0,1
Ins 113,0,0,1,0,0,2,0,2
Ins 114,0,0,1,0,0,1,0,1
Ins 115,2,1,1,0,0,1,0,0
Ins 116,0,1,1,0,0,1,0,1
Ins 117,0,0,1,0,0,2,0,1
Ins 118,0,0,2,2,0,1,0,1
Ins 119,0,1,0,0,0,2,0,0
Ins 120,0,0,2,1,1,1,0,0
Ins 121,0,1,2,0,2,2,0,1
Ins 122,0,2,1,0,0,2,2,1
Ins 123,0,0,0,2,0,0,2,2
Ins 124,0,1,2,1,2,0,0,0
Ins 125,0,0,0,1,0,1,1,0
Ins 126,0,0,1,2,0,1,1,0
Ins 127,1,1,2,1,1,2,0,0
