,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,1,0,0,1,2,0,0
Ins 65,0,0,0,0,2,0,0,1
Ins 66,0,0,2,1,0,1,0,0
Ins 67,1,0,0,0,1,0,1,0
Ins 68,0,0,1,0,1,0,0,1
Ins 69,0,0,0,0,0,1,0,2
Ins 70,0,1,0,0,1,2,0,0
Ins 71,0,1,0,0,2,2,0,1
Ins 72,0,1,0,0,2,1,0,1
Ins 73,0,0,0,0,2,1,2,0
Ins 74,0,1,0,0,2,1,0,1
Ins 75,1,1,0,0,1,1,0,0
Ins 76,0,1,0,1,1,2,1,1
Ins 77,1,2,0,0,0,2,0,0
Ins 78,0,2,0,0,1,2,0,0
Ins 79,0,2,0,0,1,2,0,0
Ins 80,0,1,1,0,0,2,0,0
Ins 81,2,1,0,0,1,1,0,0
Ins 82,0,2,0,0,1,2,0,1
Ins 83,0,1,1,0,1,2,0,0
Ins 84,1,1,0,1,0,1,1,0
Ins 85,0,1,0,0,1,1,1,1
Ins 86,1,1,1,0,0,2,0,0
Ins 87,0,0,0,0,2,1,1,2
Ins 88,1,1,0,0,0,2,1,1
Ins 89,0,0,0,0,2,0,1,1
Ins 90,2,1,0,0,1,1,0,0
Ins 91,0,1,0,0,0,2,0,0
Ins 92,0,1,0,0,2,1,0,1
Ins 93,1,0,0,0,1,2,1,1
Ins 94,0,2,0,0,0,1,0,0
Ins 95,0,1,0,1,0,2,0,1
