,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,0,0,1,2,0,0,0,1
Ins 97,1,1,0,1,0,2,2,1
Ins 98,0,0,2,1,0,2,1,1
Ins 99,1,0,0,1,0,2,2,2
Ins 100,1,0,0,0,1,2,0,1
Ins 101,0,0,0,0,1,0,1,0
Ins 102,0,0,0,0,1,2,1,1
Ins 103,2,0,0,1,0,1,1,0
Ins 104,1,1,0,0,0,1,0,1
Ins 105,2,1,0,0,0,0,0,0
Ins 106,0,0,2,2,0,0,0,2
Ins 107,1,0,0,0,1,1,0,0
Ins 108,0,0,2,2,0,0,0,1
Ins 109,2,2,0,0,1,2,0,0
Ins 110,2,0,0,1,1,0,0,0
Ins 111,2,2,0,0,1,1,0,0
Ins 112,0,0,2,1,0,0,1,1
Ins 113,0,0,2,2,0,0,0,0
Ins 114,0,0,1,1,0,0,1,1
Ins 115,0,0,2,0,0,0,0,2
Ins 116,1,0,1,1,0,0,0,0
Ins 117,1,0,2,2,0,0,0,0
Ins 118,0,0,2,0,0,0,0,2
Ins 119,0,0,0,1,0,2,1,1
Ins 120,0,2,1,0,0,0,0,1
Ins 121,1,2,0,0,1,0,0,1
Ins 122,0,1,0,0,0,1,1,2
Ins 123,0,0,1,2,0,0,1,2
Ins 124,2,2,1,1,2,0,0,1
Ins 125,0,2,1,1,0,0,0,0
Ins 126,0,0,1,1,0,0,0,0
Ins 127,1,1,1,0,0,1,0,0
