,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,0,0,0,0,0,0,0,0
Ins 33,1,0,1,0,0,0,0,1
Ins 34,0,0,0,2,0,2,1,2
Ins 35,0,0,0,0,1,0,0,1
Ins 36,0,0,0,2,0,1,0,2
Ins 37,1,2,2,0,0,1,1,1
Ins 38,1,1,0,0,1,0,0,1
Ins 39,2,1,0,0,0,2,1,1
Ins 40,2,2,0,0,0,0,0,1
Ins 41,2,2,0,0,2,0,0,0
Ins 42,1,0,1,0,0,1,0,0
Ins 43,0,0,0,0,0,0,1,0
Ins 44,2,2,0,2,1,2,1,1
Ins 45,0,0,0,2,1,0,0,0
Ins 46,0,0,0,2,0,1,1,2
Ins 47,0,0,2,1,0,0,0,0
Ins 48,2,1,0,0,0,1,0,0
Ins 49,0,2,0,0,0,0,1,0
Ins 50,1,0,0,1,0,2,0,2
Ins 51,2,2,1,0,0,2,0,0
Ins 52,1,0,2,0,1,0,1,0
Ins 53,0,2,0,0,0,1,0,0
Ins 54,0,0,1,2,0,2,0,2
Ins 55,0,0,2,2,0,2,0,0
Ins 56,2,0,1,1,0,2,0,2
Ins 57,0,0,1,1,1,2,1,2
Ins 58,0,0,0,0,0,0,0,1
Ins 59,2,0,0,0,0,1,0,0
Ins 60,0,0,1,0,0,2,0,0
Ins 61,0,0,0,0,1,0,1,1
Ins 62,1,0,2,0,0,2,0,0
Ins 63,0,0,0,0,0,1,0,1
